policy_score,lambda_footprint,n_events,mean_fraction_of_hybrid_lp_gain,median_fraction_of_hybrid_lp_gain,mean_replay_recoverable_fraction,mean_allocated_unit_footprint_mass,mean_allocated_top5pct_unit_footprint_mass,mean_cost_weighted_footprint_score,mean_unit_jaccard_with_hybrid_lp,mean_action_cost_jaccard_with_hybrid_lp,mean_action_cost_overlap_share_lp,mean_selected_action_count,mean_selected_unit_count,delta_fraction_vs_lambda0,gain_loss_vs_lambda0,delta_top5_footprint_vs_lambda0,delta_cost_weighted_footprint_vs_lambda0,gain_loss_per_0p01_footprint,frontier_step,frontier_delta_gain,frontier_delta_footprint,frontier_gain_loss_per_0p01_footprint
lambda_0p02_footprint,0.02,6,0.9685076607,0.9827115433,0.122558482,0.1530877065,0.04937406478,0.002789608869,0.9163250194,0.8088139297,0.8846352833,433.1666667,58.16666667,0.001614433489,-0.001614433489,0.0013758694,5.705201971e-05,-0.01173391522,0,,,
lambda_0p05_footprint,0.05,6,0.9671336505,0.98286942,0.1223602789,0.1533325412,0.04970617445,0.002878777978,0.9076440298,0.8016010212,0.881763014,428.6666667,57.16666667,0.0002404233035,-0.0002404233035,0.001707979064,0.0001462211287,-0.001407647837,1,-0.001374010185,0.0003321096644,0.04137218313
lambda_0p1_footprint,0.1,6,0.9663664114,0.9826165325,0.1222692314,0.1639882391,0.0509762256,0.002980310061,0.869914441,0.7760847396,0.8660904752,421.6666667,55.83333333,-0.000526815743,0.000526815743,0.002978030211,0.0002477532117,0.001769007383,2,-0.0007672390464,0.001270051147,0.006041009042
lambda_0p15_footprint,0.15,6,0.965955678,0.9809462722,0.1222084523,0.1617172295,0.05442776691,0.003085934266,0.8556766646,0.7601577381,0.8556610517,417.8333333,55.16666667,-0.0009375492209,0.0009375492209,0.006429571524,0.0003533774166,0.001458183049,3,-0.000410733478,0.003451541313,0.001190000179
lambda_0p2_footprint,0.2,6,0.9645087529,0.9821634025,0.1220288917,0.1622674068,0.06359739335,0.003169270839,0.8410207928,0.7391604546,0.8414471199,417.8333333,54.83333333,-0.002384474245,0.002384474245,0.01559919796,0.0004367139899,0.00152858772,4,-0.001446925024,0.009169626437,0.001577954166
lambda_0p25_footprint,0.25,6,0.9642456556,0.9808382711,0.1220107268,0.1689889138,0.07649097469,0.003210825308,0.8156516501,0.7237939525,0.8315612863,414.1666667,54.83333333,-0.002647571611,0.002647571611,0.02849277931,0.0004782684588,0.000929207917,5,-0.0002630973663,0.01289358135,0.0002040529774
lambda_0p35_footprint,0.35,6,0.9618723331,0.9783055156,0.1217573779,0.1771472568,0.08144990413,0.003468391722,0.7832166915,0.6890867877,0.8070373045,413,53.66666667,-0.005020894092,0.005020894092,0.03345170875,0.0007358348725,0.001500938003,6,-0.002373322481,0.004958929437,0.004785957354
lambda_0p5_footprint,0.5,6,0.9568110799,0.9738765177,0.1211345881,0.1907141446,0.08305471361,0.003679268023,0.7370282704,0.645872532,0.7759208614,410.3333333,53.16666667,-0.01008214726,0.01008214726,0.03505651822,0.0009467111738,0.00287596937,7,-0.00506125317,0.001604809478,0.03153803139
lambda_0p75_footprint,0.75,6,0.9467060711,0.9638813447,0.1198386059,0.198811212,0.09123849503,0.003978047473,0.686513257,0.603964819,0.7436460524,412,51.33333333,-0.02018715609,0.02018715609,0.04324029965,0.001245490624,0.004668597639,8,-0.01010500882,0.008183781425,0.01234760351
lambda_1_footprint,1,6,0.9396432585,0.9557848725,0.1190089066,0.202707277,0.09181992053,0.00409246454,0.6647560134,0.5718177725,0.7164292693,412,50.83333333,-0.02724996868,0.02724996868,0.04382172515,0.001359907691,0.006218369677,9,-0.007062812599,0.0005814254966,0.1214740778
